,bn_pt,m,n,method_1,method_2,ratio
442,16,5,3,apm,itv,0.7222688907556303
443,16,5,3,itv,bnw,0.3812952518100724
444,16,5,4,bnw,apm,0.48953958158326333
445,16,5,4,apm,itv,0.7485499419976799
446,16,5,4,itv,bnw,0.4280171206848274
447,16,5,5,bnw,apm,0.8971958878355134
448,16,5,5,apm,itv,0.9695187807512301
449,16,5,5,itv,bnw,0.8971958878355134
450,17,1,1,bnw,apm,0.9870394815792631
451,17,1,1,apm,itv,0.9911196447857914
452,17,1,1,itv,bnw,0.9809592383695348
453,17,1,2,bnw,apm,0.7457498299931997
454,17,1,2,apm,itv,0.8204728189127565
455,17,1,2,itv,bnw,0.6703868154726189
456,17,1,3,bnw,apm,0.7173486939477579
457,17,1,3,apm,itv,0.906076243049722
458,17,1,3,itv,bnw,0.6463058522340893
459,17,1,4,bnw,apm,0.4001760070402816
460,17,1,4,apm,itv,0.9887195487819512
461,17,1,4,itv,bnw,0.3936157446297852
462,17,1,5,bnw,apm,0.484779391175647
463,17,1,5,apm,itv,0.9527181087243489
464,17,1,5,itv,bnw,0.4420176807072283
465,17,2,1,bnw,apm,0.7457498299931997
466,17,2,1,apm,itv,0.8204728189127565
467,17,2,1,itv,bnw,0.6703868154726189
468,17,2,2,bnw,apm,0.9714388575543021
469,17,2,2,apm,itv,0.9891595663826553
470,17,2,2,itv,bnw,0.9635985439417577
471,17,2,3,bnw,apm,0.843553742149686
472,17,2,3,apm,itv,0.5101404056162246
473,17,2,3,itv,bnw,0.45853834153366135
474,17,2,4,bnw,apm,0.5060602424096964
475,17,2,4,apm,itv,0.671146845873835
476,17,2,4,itv,bnw,0.40445617824712987
477,17,2,5,bnw,apm,0.6124644985799432
478,17,2,5,apm,itv,0.9908396335853434
479,17,2,5,itv,bnw,0.6056242249689988
480,17,3,1,bnw,apm,0.7173486939477579
481,17,3,1,apm,itv,0.906076243049722
482,17,3,1,itv,bnw,0.6463058522340893
483,17,3,2,bnw,apm,0.843553742149686
484,17,3,2,apm,itv,0.5101404056162246
485,17,3,2,itv,bnw,0.45853834153366135
486,17,3,3,bnw,apm,0.9695187807512301
487,17,3,3,apm,itv,0.9894795791831673
488,17,3,3,itv,bnw,0.9590783631345254
489,17,3,4,bnw,apm,0.4607784311372455
490,17,3,4,apm,itv,0.7470698827953118
491,17,3,4,itv,bnw,0.45261810472418895
492,17,3,5,bnw,apm,0.3563742549701988
493,17,3,5,apm,itv,0.6629065162606504
494,17,3,5,itv,bnw,0.28037121484859395
495,17,4,1,bnw,apm,0.4001760070402816
496,17,4,1,apm,itv,0.9887195487819512
497,17,4,1,itv,bnw,0.3936157446297852
498,17,4,2,bnw,apm,0.5060602424096964
499,17,4,2,apm,itv,0.671146845873835
500,17,4,2,itv,bnw,0.40445617824712987
501,17,4,3,bnw,apm,0.4607784311372455
502,17,4,3,apm,itv,0.7470698827953118
503,17,4,3,itv,bnw,0.45261810472418895
504,17,4,4,bnw,apm,0.9560382415296612
505,17,4,4,apm,itv,0.9930797231889276
506,17,4,4,itv,bnw,0.9491179647185888
507,17,4,5,bnw,apm,0.5203008120324814
